PulseType,PulseIndex,SOC,C_rate,R0,R1,C1,R2,C2
WLTP_augmented,-1,47.0,4.83,0.0010369079843555,0.0077607680118492745,7.784890932387028,0.013900928240259479,1943.9512895547898
WLTP_augmented,-1,47.0,4.94,0.0010714483436274,0.0079681296486377,8.21796154019716,0.01438151888073564,1996.12893943997
WLTP_augmented,-1,47.0,5.65,0.0011248870871073,0.00779261222990578,7.919003435226494,0.014344524606299749,2024.483370685916
WLTP_augmented,-1,47.0,5.81,0.0011309463140775,0.007724188331924692,7.785542743029098,0.014272050403043737,2024.5712331725288
WLTP_augmented,-1,47.0,6.85,0.0011456277754778,0.007299657133384572,6.8899434598360845,0.013800968081879857,2025.1433865088015
WLTP_augmented,-1,47.0,7.67,0.0011270129987218,0.006989646842061519,6.149450582367035,0.013429537790193255,2025.5957871751418
WLTP_augmented,-1,47.5,0.25,0.0003277717760972,0.008492511251625307,13.715102454724878,0.014785577961585455,1361.2047218134462
WLTP_augmented,-1,47.5,0.96,0.0003277717760972,0.008206512244598651,13.661449593254954,0.014785577961585455,1361.2055674136564
WLTP_augmented,-1,47.5,1.07,0.000353819164419,0.008165219496332792,13.891323233014965,0.01465878259479593,1401.9067586923516
WLTP_augmented,-1,47.5,1.84,0.0004668912778925,0.007657731970207884,13.457467113501277,0.012910433937494834,1599.4641625907166
WLTP_augmented,-1,47.5,1.88,0.0004720895903847,0.007630105112500568,13.417864226349,0.012816508931669196,1608.5192810117128
WLTP_augmented,-1,47.5,1.89,0.0004733792712666,0.007623206500693266,13.407952244631476,0.012793027680212992,1610.7830610365022
WLTP_augmented,-1,47.5,1.9,0.0004746649932521,0.0076163111299337736,13.398035758942177,0.012769546428756377,1613.0468412291082
WLTP_augmented,-1,47.5,1.91,0.0004759467563411,0.007609419000222092,13.388114769281097,0.012746065177300172,1615.31062158953
WLTP_augmented,-1,47.5,1.93,0.0004784984058297,0.007595644463942159,13.368259278043586,0.012699102674386944,1619.8381828138224
WLTP_augmented,-1,47.5,1.98,0.0004848082488632,0.007561264841578914,13.318541730443668,0.0125816964171051,1631.1570888113386
WLTP_augmented,-1,47.5,1.99,0.0004860583407805,0.0075543986402497165,13.308584709008343,0.012558215165648484,1633.4208705142905
WLTP_augmented,-1,47.5,2.02,0.0004910356708324,0.007536140039289485,13.218266218499933,0.012510203169249688,1635.9823571157604
WLTP_augmented,-1,47.5,2.04,0.000494714600986,0.007524689773770584,13.13965105505632,0.012485019072133122,1636.4032623094054
WLTP_augmented,-1,47.5,2.2,0.0005235759611247,0.007433554360503986,12.510081175571019,0.0122835462952022,1639.770528024102
WLTP_augmented,-1,47.5,2.24,0.000530632945301,0.007410900149099779,12.352508546828476,0.01223317810096947,1640.6123511654257
WLTP_augmented,-1,47.5,2.25,0.000532387294104,0.007405244698868255,12.313104129713393,0.01222058605241139,1640.8228073702971
WLTP_augmented,-1,47.5,2.33,0.0005462795642548,0.00736011777473723,11.997706649808602,0.012119849663945522,1642.5064630506529
WLTP_augmented,-1,47.5,2.61,0.0005929072259674,0.007203807028375029,10.891545468364496,0.011767272304316415,1648.3993425112803
WLTP_augmented,-1,47.5,2.79,0.00062124316822,0.007104663342364262,10.17857720740475,0.011540615430268927,1652.1876916404608
WLTP_augmented,-1,47.5,2.81,0.0006243124283188,0.007093712198208176,10.099268432306948,0.01151543133315236,1652.6086226778057
WLTP_augmented,-1,47.5,3.24,0.0006864712881202,0.006861398312608753,8.38977217500662,0.010973973245150412,1661.6588023429206
WLTP_augmented,-1,47.5,3.6,0.0007283017727617,0.006716867104035989,7.03890627269506,0.010513129112889754,1682.1662710977987
WLTP_augmented,-1,47.5,3.65,0.0007324214012596,0.006709844751165297,6.875150635082503,0.010447011202416232,1688.6406625562986
WLTP_augmented,-1,47.5,4.03,0.0007693131608206,0.006671731731302178,5.71979268691291,0.010150894551302145,1728.6831072214836
WLTP_augmented,-1,47.5,4.18,0.0008212654857815,0.006713695880640047,5.672320667749252,0.0109460234987307,1703.9966421938955
WLTP_augmented,-1,47.5,4.28,0.0008553899047917,0.006776985481930705,5.734857073927638,0.011455536374143385,1701.6447779000143
WLTP_augmented,-1,47.5,4.61,0.00096500992681,0.007394728314308881,7.041581475517493,0.012897308295571865,1858.177481468465
WLTP_augmented,-1,47.5,6.7,0.0011463630164275,0.007408566534804539,7.152812189203599,0.013826536656041982,2043.648325855139
WLTP_augmented,-1,47.5,6.85,0.0011459518926684,0.007349664892632695,7.021075001381911,0.013758592090489649,2043.7309588892304
WLTP_augmented,-1,48.0,0.25,0.0003277717760972,0.008495598577642377,13.713256010990401,0.014785577961585455,1361.2047169202513
WLTP_augmented,-1,48.0,0.96,0.0003277717760972,0.008210382557397368,13.661696167415393,0.014785577961585455,1361.205557318275
WLTP_augmented,-1,48.0,1.07,0.0003493389290904,0.008165099658075149,13.840225900508804,0.014652164774844826,1397.6486428623102
WLTP_augmented,-1,48.0,1.47,0.0003651159814176,0.00790217410390306,13.64366209754686,0.013748546468928306,1502.0724734780024
WLTP_augmented,-1,48.0,1.84,0.0004597851456917,0.007661032442491624,13.432117822486658,0.012908274089693594,1596.9417303814519
WLTP_augmented,-1,48.0,1.87,0.0004637126026368,0.007640340521587941,13.402510850455958,0.012837830335324159,1603.7330687256635
WLTP_augmented,-1,48.0,1.88,0.0004650138371589,0.007633449696715668,13.392632851835502,0.012814349083867953,1605.9968485093666
